Project_name,SiteID,BASIN,LOCATION,RIVMILE,sys_sample_code,chemical_name,sample_date,cas_rn,fraction,result_value,result_unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Conductivity,7/11/2018 10:44,COND,T,4535,uS/cm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Dissolved Oxygen,7/11/2018 10:44,7782-44-7,D,7.25,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Percent Saturation,7/11/2018 10:44,PER_SAT,T,89,std unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,PH,7/11/2018 10:44,PH,T,6.86,pH units
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Salinity,7/11/2018 10:44,SALI,T,2.41,ppm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,water temperature,7/11/2018 10:44,TEMP,T,23.8,deg c
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,"ALKALINITY, TOTAL (AS CaCO3)",7/11/2018 10:45,ALK,T,5.6,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Calcium,7/11/2018 10:45,7440-70-2,T,67700,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,"Carbon, Dissolved Organic (DOC)",7/11/2018 10:45,DOC,D,3.7,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,CHLORIDE (AS CL),7/11/2018 10:45,16887-00-6,T,1340,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Copper,7/11/2018 10:45,7440-50-8,T,13.8,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Copper,7/11/2018 10:45,7440-50-8,D,12.9,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,HARDNESS (AS CACO3),7/11/2018 10:45,HARD,T,255,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Magnesium,7/11/2018 10:45,7439-95-4,T,20800,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Manganese,7/11/2018 10:45,7439-96-5,T,365,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Nickel,7/11/2018 10:45,7440-02-0,D,9.8,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Nitrogen,7/11/2018 10:45,KN,T,26.8,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,"Nitrogen, ammonia (As N)",7/11/2018 10:45,7664-41-7,T,0.385,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,"NITROGEN, KJELDAHL, TOTAL",7/11/2018 10:45,KN,T,1.26,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,"NITROGEN, NITRATE (AS N)",7/11/2018 10:45,14797-55-8,T,25.5,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,"NITROGEN, NITRITE",7/11/2018 10:45,14797-65-0,T,0.099,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,"Orthophosphate as Phosphorus, Dissolved",7/11/2018 10:45,PDORTHO,D,0.0166,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,"PHOSPHORUS, TOTAL (AS P)",7/11/2018 10:45,7723-14-0,T,0.0825,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Sodium,7/11/2018 10:45,7440-23-5,T,795000,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,SULFATE (AS SO4),7/11/2018 10:45,14808-79-8,T,59.9,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/11/2018 10:45,TDS,T,2290,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Zinc,7/11/2018 10:45,7440-66-6,D,39.6,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07112018-WS,Zinc,7/11/2018 10:45,7440-66-6,T,40.7,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Conductivity,7/23/2018 9:45,COND,T,1450,uS/cm
