BASIN,LOCATION,RIVMILE,SITE_ID,LATITUDE,LONGITUDE,NAME,DESCRIPT,WQ_STANDARD,PWL_ID,NED10_Elevation
6,ABEL,0.2,06-ABEL-0.2,42.649115,-75.786442,Ashbell Brook,entire stream and tribs,C(T),0602-0168,
8,ADKS,0.5,08-ADKS-0.5,43.65583,-74.67555,Otter Brook and tribs,entire stream and tribs,C(T),0801-0398,
7,AIND,1.6,07-AIND-1.6,42.6985859,-76.8731403,Indian Creek,At Route 96A bridge,C(TS),0705-0075,180.1068573
10,ALDE,0.7,10-ALDE-0.7,44.57167,-73.94384,Alder Brook,10m above Rte 3,C(T),1003-0038,364.1180115
10,ALDE_T,0.6,10-ALDE_T-0.6,44.50115548,-74.01403662,"North Branch Saranac, Lower, minor tribs",stream and selected tribs from mouth to Mud Lake,C(T),1003-0038,
8,AWAT,2.6,08-AWAT-2.6,43.71033,-75.51623,Atwater Creek,at Graves Rd bridge,AA,0801-0330,565.6852417
13,BASC_T17,2.4,13-BASC_T17-2.4,42.5359,-74.07721,Unnamed Tributary to Basic Creek,10m downstream of Rte 85/Delaware turnpike bridge,C,1309-0028,420.3892212
8,BEAU_T2,0.1,08-BEAU_T2-0.1,43.603788,-75.316488,Unnamed Tributary to Beauty Creek,at Burnt Shanty Rd,AA(T),0801-0347,307.6254578
13,BEER_W,0.2,13-BEER_W-0.2,41.72528,-74.41556,West Beer Kill,25m above where Old Greenfield Rd goes under Rt 52,B(TS),1306-0117,142.2838135
8,BEEV,0.8,08-BEEV-0.8,43.89806,-75.49389,Beaver River,30 m below Van Amber Rd. bridge(CR 33),C,0801-0197,219.3870697
8,BEEV_T16,1.5,08-BEEV_T16-1.5,43.92107,-75.18084,Unnamed Tributary to Beaver River,450 meters off Fish Creek Rd.,C(T),0801-0277,459.7703857
10,BEHA,1,10-BEHA-1,44.67302,-73.72733,Behan Brook,40m above Picketts Corner Rd,C(T),1003-0053,248.4304352
8,BENE,0.2,08-BENE-0.2,43.67611,-74.70834,Benedict Creek,8miles east of Limekiln Lake,CT,0801-0346,561.0436401
5,BENN,0.5,05-BENN-0.5,42.26543,-77.59466,Bennetts Creek,40m above Rte 36 bridge,C,0503-0007,340.1655884
5,BENN,4.6,05-BENN-4.6,42.22197,-77.61391,Bennetts Creek,"Rt. 248, 1mi south of Fall Creek Rd.",C,0503-0007,375.6448364
5,BENN_T14,2.8,05-BENN_T14-2.8,42.111839,-77.69363,Christian Hollow- Tributary to Bennetts Creek,at Christian Hollow West Union Rd crossing,C,0503-0024,608.8591309
6,BEVR,1.5,06-BEVR-1.5,42.73444,-75.30972,Beaver Creek,where South Brookfield Rd comes close to stream,C,0601-0053,341.8595886
14,BISC,0.7,14-BISC-0.7,41.99278,-74.50306,Biscuit Brook,Biscuit Bk above Pigeon Bk at Frost Valley Follow Blue trail to site,C(T),1402-0008,622.0147705
10,BISH,0.6,10-BISH-0.6,43.4039,-73.53821,Bishop Brook,"rte 149, 50 m below bridge, fields on each side",A(T),1005-0064,63.71675491
13,BLAG,3.4,13-BLAG-3.4,42.575,-73.408,Black River,upstream of Newton Rd.,C(TS),1310-0043,362.0013123
9,BLAP_W,7.4,09-BLAP_W-7.4,44.033941,-75.619068,West Branch Black Creek,SR 3A,C(T),0906-0046,207.2425842
10,BLAR,1.1,10-BLAR-1.1,44.23422,-73.51052,Black River,CR8,C(T),1004-0082,137.0284271
8,BLCK,1.2,08-BLCK-1.2,44.00566,-76.048717,Black River,Rt.180 bridge,C,0801-0250,79.46499634
8,BLCK,30,08-BLCK-30,43.99365,-75.631952,Black River,0.9 mi. below new STP,C,0801-0190,203.1824036
8,BLCK,47.6,08-BLCK-47.6,43.82556,-75.46528,Black River,200 m below Rt. 26A (Rt. 812) bridge,C,0801-0251,220.5890045
8,BLCK,69.6,08-BLCK-69.6,43.67694,-75.36195,Black River,10 m below Burdicks Crossing Rd. bridge,C,0801-0199,222.8070068
8,BLCK,76.5,08-BLCK-76.5,43.59583,-75.34611,Black River,120 m above Davis Rd. bridge,CT,0801-0038,244.2650452
8,BLCK,105.4,08-BLCK-105.4,43.41083,-75.09666,Black River,5 m below Enos Rd./Bellingertown Rd.,CT,0801-0237,391.5184326
8,BLCK_T132,2,08-BLCK_T132-2,43.51919,-74.914078,Unnamed Tributary to Black River,300 m upstream of South Lake Rd,C(T),0801-0237,607.6449585
8,BLCK_T30,4.5,08-BLCK_T30-4.5,43.964945,-75.489564,Unnamed Tributary to Black River,"off Aspen Hollow Trail 300m, below beaver pond near powerlines",C,0801-0262,257.1312561
8,BLCK_T67,0.5,08-BLCK_T67-0.5,43.686001,-75.350711,Unnamed Tributary to Black River,300 m upstream of Grieg Rd.,C(T),0801-0318,255.1088257
13,BLKH,8.2,13-BLKH-8.2,41.744376,-73.985304,Black Creek,At Riverside Road Bridge,A(T),1301-0203,93.43894958
13,BLKK,1.1,13-BLKK-1.1,42.71081,-73.98769,Black Creek,10 m below Weaver Rd bridge,C,1311-0024,93.91984558
17,BLND,3.4,17-BLND-3.4,40.983283,-73.68625,Blind Brook,150 m above gaging station; at Theodore Fremd St.,SC,1702-0130,5.726905346
10,BOQT,2.8,10-BOQT-2.8,44.361742,-73.391577,Boquet River,500 m above Rt. 22 bridge,C,1004-0037,47.1323967
10,BOQT,10.8,10-BOQT-10.8,44.264529,-73.40121,Boquet River,stream and selected tribs from Willsboro to Wadhams,A,1004-0039,
10,BOQT,23.2,10-BOQT-23.2,44.24826,-73.52014,Boquet River,Lee bridge Rd,C(T),1004-0046,122.9727249
10,BRAY,1.5,10-BRAY-1.5,44.806416,-73.724275,Brandy Brook,stream and tribs from Miner Lake to Chazy Lake,C(T),1002-0018,
10,BRNC,0.4,10-BRNC-0.4,44.21667,-73.59025,The Branch,9 bridge,AA(T),1004-0040,168.4163971
8,BRNT,0.1,08-BRNT-0.1,43.695326,-75.263857,Unnamed Tributary to Brantingham Lake,"above Cottage Rd, above lake influence",A,0801-0340,376.7099609
17,BRNX,5.6,17-BRNX-5.6,40.88,-73.86861,Bronx River,150 m above East Gun Hill Rd. bridge,B,1702-0106,19.46227455
17,BRNX,12.3,17-BRNX-12.3,40.95944,-73.821995,Bronx River,bridge above Crestview Station,C,1702-0107,29.23230171
17,BRNX,17.3,17-BRNX-17.3,41.02417,-73.78306,Bronx River,100 m below Bronx River Parkway bridge,C(T),1702-0107,53.67437363
7,BSWP,1.3,07-BSWP-1.3,42.81111,-76.34306,Bear Swamp Creek,"Apple tree point Rd.
10m upstream",AAT,0707-0005,395.757782
6,BTNT_T,1,06-BTNT_T-1,42.455927,-75.313426,"Butternut Creek, Lower, and minor tribs",stream and selected tribs from mouth to Gilbertsville,C(T),0601-0050,
6,BTNT_T,12,06-BTNT_T-12,42.51171569,-75.27616669,Butternut Creek,"stream and tribs, from Gilbertsville to Morris",C,0601-0140,
8,BUCC,0.1,08-BUCC-0.1,43.74361097,-74.72286094,Buck Creek,total length of select tribs to Fifth thru Eighth Lks,C(T),0801-0207,
14,BUSH,0.6,14-BUSH-0.6,42.15111,-74.60111,Bush Kill,off rte 28 east of Arkville at Debari Lane Bridge,C(TS),1403-0100,420.325531
13,BUSK,0.2,13-BUSK-0.2,41.97043,-74.2774,Bush Kill,Rte 28A; second bridge heading towards CR 42,A(TS),1307-0029,185.9115448
17,BVBR,0.3,17-BVBR-0.3,40.878102,-73.565952,Beaver Brook,Frost Mill Rd.; 5-10 m below old road bridge in preserve. Park at Preserve and follow red trail to blue trail,C,1702-0153,3.059339285
5,BWIN_T11,0.7,05-BWIN_T11-0.7,42.10146,-76.68656,Unnamed Tributary to Baldwin Creek,Federal Rd,C,0501-0023,322.7745667
17,BYRM,1.3,17-BYRM-1.3,41.12389,-73.70472,Byram River,"20m below Rte. 22 bridge, on west side of 	I-684",C(T),1702-0133,112.5357513
5,CARI,0.2,05-CARI-0.2,42.40856,-77.61823,Carrington Creek,10 m upstream of Evans Rd,ATS,0503-0030,462.1239929
17,CARL,1.8,17-CARL-1.8,40.71556,-73.32917,Carlls River,at Rt. 27,C(T),1701-0089,4.530451775
17,CARM,9,17-CARM-9,40.83,-72.90694,Carmans River,below foot bridge at USGS gaging station,C(TS),1701-0102,6.018004894
17,CARM,9,17-CARM-9,40.83,-72.90694,Carmans River,below foot bridge at USGS gaging station,C(TS),1701-0102,6.018004894
