"Project_name","SiteID","BASIN","LOCATION","RIVMILE","SAMPLE_DATE","cas_rn","chemical_name","fraction","result_value","result_unit","Health..Water.Source.","Health.Fish.Consumption.","Aquatic.Chronic.","Aquatic..Acute.","Wildlife","Aesthetic.Water.Source.","Aesthetic.Food.Source.","Recreation","HWS","HFS","AC","AA","W","EWS","EFS","R"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","ALK","ALKALINITY, TOTAL (AS CaCO3)","T",5600,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","7440-70-2","Calcium","T",67700,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","DOC","Carbon, Dissolved Organic (DOC)","D",3700,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","16887-00-6","CHLORIDE (AS CL)","T",1340000,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","COND","Conductivity","T",4535,"uS/cm","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","7440-50-8","Copper","D",12.9,"ug/l","NS","NS","19.9292341166332","32.4648029954317","NS","NS","NS","NS","NS","NS","NV","NV","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","7440-50-8","Copper","T",13.8,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","7782-44-7","Dissolved Oxygen","D",7250,"ug/l","NS","NS","4000","NS","NS","NS","NS","NS","NS","NS","NV","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","HARD","HARDNESS (AS CACO3)","T",255000,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","7439-95-4","Magnesium","T",20800,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
