Project_name,SiteID,BASIN,LOCATION,RIVMILE,SAMPLE_DATE,cas_rn,chemical_name,fraction,result_value,result_unit,Health..Water.Source.,Health.Fish.Consumption.,Aquatic.Chronic.,Aquatic..Acute.,Wildlife,Aesthetic.Water.Source.,Aesthetic.Food.Source.,Recreation,HWS,HFS,AC,AA,W,EWS,EFS,R
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,7/11/2018,ALK,"ALKALINITY, TOTAL (AS CaCO3)",T,5600,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2019,15-KJSTP-001,15,KJSTP,001,7/11/2018,7440-70-2,Calcium,T,67700,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2020,15-KJSTP-001,15,KJSTP,001,7/11/2018,DOC,"Carbon, Dissolved Organic (DOC)",D,3700,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2021,15-KJSTP-001,15,KJSTP,001,7/11/2018,16887-00-6,CHLORIDE (AS CL),T,1340000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2022,15-KJSTP-001,15,KJSTP,001,7/11/2018,COND,Conductivity,T,4535,uS/cm,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2023,15-KJSTP-001,15,KJSTP,001,7/11/2018,7440-50-8,Copper,D,12.9,ug/l,NS,NS,19.92923412,32.464803,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
Ramapo RAS 2024,15-KJSTP-001,15,KJSTP,001,7/11/2018,7440-50-8,Copper,T,13.8,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2025,15-KJSTP-001,15,KJSTP,001,7/11/2018,7782-44-7,Dissolved Oxygen,D,7250,ug/l,NS,NS,4000,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2026,15-KJSTP-001,15,KJSTP,001,7/11/2018,HARD,HARDNESS (AS CACO3),T,255000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2027,15-KJSTP-001,15,KJSTP,001,7/11/2018,7439-95-4,Magnesium,T,20800,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2028,15-KJSTP-001,15,KJSTP,001,7/11/2018,7439-96-5,Manganese,T,365,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2029,15-KJSTP-001,15,KJSTP,001,7/11/2018,7440-02-0,Nickel,D,9.8,ug/l,NS,NS,114.8129693,1033.707318,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
Ramapo RAS 2030,15-KJSTP-001,15,KJSTP,001,7/11/2018,KN,Nitrogen,T,26800,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2031,15-KJSTP-001,15,KJSTP,001,7/11/2018,7664-41-7,"Nitrogen, ammonia (As N)",T,385,ug/l,NS,NS,5.492,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2032,15-KJSTP-001,15,KJSTP,001,7/11/2018,KN,"NITROGEN, KJELDAHL, TOTAL",T,1260,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2033,15-KJSTP-001,15,KJSTP,001,7/11/2018,14797-55-8,"NITROGEN, NITRATE (AS N)",T,25500,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2034,15-KJSTP-001,15,KJSTP,001,7/11/2018,14797-65-0,"NITROGEN, NITRITE",T,99,ug/l,NS,NS,100,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2035,15-KJSTP-001,15,KJSTP,001,7/11/2018,PDORTHO,"Orthophosphate as Phosphorus, Dissolved",D,16.6,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2036,15-KJSTP-001,15,KJSTP,001,7/11/2018,PER_SAT,Percent Saturation,T,89,std unit,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2037,15-KJSTP-001,15,KJSTP,001,7/11/2018,PH,PH,T,6.86,pH units,NS,NS,8.5-6.5,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2038,15-KJSTP-001,15,KJSTP,001,7/11/2018,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",T,82.5,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2039,15-KJSTP-001,15,KJSTP,001,7/11/2018,SALI,Salinity,T,2.41,ppm,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2040,15-KJSTP-001,15,KJSTP,001,7/11/2018,7440-23-5,Sodium,T,795000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
