"sample","cas_rn","ALS.Parameter.Names","USGS.Parameter.Names","UNITS","Units"
"15_RAMA_1.1_2018-09-05","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_1.1_2018-09-05","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_18.6_2018-09-06","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_18.6_2018-09-06","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_4.8_2018-07-31","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_4.8_2018-07-31","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_16.7_2018-07-10","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_16.7_2018-07-10","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_11.8_2018-09-05","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_11.8_2018-09-05","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_11.8_2018-10-01","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_11.8_2018-10-01","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_16.7_2018-08-21","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_16.7_2018-08-21","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_KJSTP_001_2018-09-06","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_KJSTP_001_2018-09-06","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_16.5_2018-07-31","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_16.5_2018-07-31","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_18.6_2018-08-22","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_18.6_2018-08-22","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_18.6_2018-10-02","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_18.6_2018-10-02","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-22","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-22","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_13.3_2018-07-31","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_13.3_2018-07-31","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_4.8_2018-10-01","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_4.8_2018-10-01","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-22","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-22","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-23","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-23","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_4.8_2018-07-10","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_4.8_2018-07-10","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_16.8_2018-07-11","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_16.8_2018-07-11","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_1.1_2018-07-31","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_1.1_2018-07-31","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_OCSDSTP_001_2018-09-05","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_OCSDSTP_001_2018-09-05","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_16.8_2018-09-06","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_16.8_2018-09-06","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-11","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-11","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_KJSTP_001_2018-07-11","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_KJSTP_001_2018-07-11","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
"15_RAMA_16.7_2018-09-05","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wf","mg/l"," ug/l"
"15_RAMA_16.7_2018-09-05","14797-55-8","NITROGEN, NITRATE (AS N)","Nitrate, wu","mg/l"," ug/l"
