PCODE,cas_rn,Parameter.mes.EQUIS,Parameter.EQUIS,Parameter.Units.EQUIS,EQUIS_FRACTION,result_unit_EQUIS,Parameter.mes.EDD,result_unit_EDD,Parameter.mes.USGS,result_unit_USGS
99832,17060-07-0,"1,2-Dichloroethane-D4 ;(total,%)","1,2-Dichloroethane-D4","(total,%)",T,%,"1,2-Dichloroethane-D4",,"1,2-Dichloroethane-d4,sur, wu",%
74023,ALK,"Alkalinity, Total (As CaCO3) ;(,mg/l)","Alkalinity, Total (As CaCO3)","(,mg/l)",T,"NA, mg/l","ALKALINITY, TOTAL (AS CaCO3)",mg/l,ALK CACO3 STABL,mg/l CaCO3
74023,ALK,"Alkalinity, Total (As CaCO3) ;(total,mg/l)","Alkalinity, Total (As CaCO3)","(total,mg/l)",T,"total, mg/l","ALKALINITY, TOTAL (AS CaCO3)",mg/l,ALK CACO3 STABL,mg/l CaCO3
74023,ALK,"ALKALINITY, TOTAL (AS CaCO3) ;(total,mg/l)","ALKALINITY, TOTAL (AS CaCO3)","(total,mg/l)",T,"total, mg/l","ALKALINITY, TOTAL (AS CaCO3)",mg/l,ALK CACO3 STABL,mg/l CaCO3
1106,,"Aluminum ;(dissolved,ug/l)",Aluminum,"(dissolved,ug/l)",D,ug/l,,,"Aluminum, wf",ug/l
1105,7429-90-5,"Aluminum ;(total,ug/l)",Aluminum,"(total,ug/l)",T,ug/l,Aluminum,ug/l,"Aluminum, wu,recov",ug/l
1000,7440-38-2,"Arsenic ;(total,ug/l)",Arsenic,"(total,ug/l)",T,ug/l,Arsenic,ug/l,"Arsenic, wf",ug/l
32101,75-27-4,"Bromodichloromethane ;(total,ug/l)",Bromodichloromethane,"(total,ug/l)",T,ug/l,,,"CHBrCl2, wu",ug/l
1025,,"Cadmium ;(dissolved,ug/l)",Cadmium,"(dissolved,ug/l)",D,ug/l,,,"Cadmium, wf",ug/l
1027,7440-43-9,"Cadmium ;(total,ug/l)",Cadmium,"(total,ug/l)",T,ug/l,Cadmium,ug/l,"Cadmium, wu",ug/l
52288,7440-70-2,"Calcium ;(total,mg/l)",Calcium,"(total,mg/l)",T,"total, mg/l",,,"Calcium, wu",mg/l
52505,7440-70-2,"Calcium ;(total,ug/l)",Calcium,"(total,ug/l)",T,ug/l,Calcium,,"Calcium, wu",ug/l
99134,,"Carbon, Dissolved Organic ;(dOC) (dissolved,mg/l)","Carbon, Dissolved Organic","(dOC) (dissolved,mg/l)",D,"dissolved, mg/l",,,"DOC,water,insitu,est",mg/l
99220,16887-00-6,"Chloride (As Cl) ;(total,mg/l)",Chloride (As Cl),"(total,mg/l)",T,mg/l,CHLORIDE (AS CL),mg/l,"Chloride, wu",mg/l
99220,16887-00-6,"CHLORIDE (AS CL) ;(total,mg/l)",CHLORIDE (AS CL),"(total,mg/l)",T,mg/l,CHLORIDE (AS CL),mg/l,"Chloride, wu",mg/l
34306,124-48-1,"Chlorodibromomethane ;(total,ug/l)",Chlorodibromomethane,"(total,ug/l)",T,ug/l,,,CHLORODIBROMOMETTOTW,ug/l
32005,,"Chloroform ;(total,ug/l)",Chloroform,"(total,ug/l)",T,ug/l,,,,
30201,74-87-3,"Chloromethane ;(total,ug/l)",Chloromethane,"(total,ug/l)",T,ug/l,,,"Chloromethane, wu",ug/l
32284,,"Chlorophyll a ;(total,ug/l)",Chlorophyll a,"(total,ug/l)",T,ug/l,Chlorophyll A,ug/l,,
,,"Coliform ;(,cfu/100ml)",Coliform,"(,cfu/100ml)",U,cfu/100ml,,,,
61213,,"Coliform ;(total,cfu/100ml)",Coliform,"(total,cfu/100ml)",T,cfu/100ml,Coliform,,,
90095,,"Conductivity ;(total,umhos/cm)",Conductivity,"(total,umhos/cm)",T,umhos/cm,Conductivity,,,
90095,COND,"Conductivity at 25 Degrees Celsius ;(total,umhos/cm)",Conductivity at 25 Degrees Celsius,"(total,umhos/cm)",T,umhos/cm,Conductivity at 25 Degrees Celsius,,,
1040,,"Copper ;(dissolved,ug/l)",Copper,"(dissolved,ug/l)",D,ug/l,,,"Copper, wf",ug/l
52296,7440-50-8,"Copper ;(total,ug/l)",Copper,"(total,ug/l)",T,ug/l,Copper,ug/l,"Copper, wu",ug/l
,,"Dibromochloromethane ;(total,ug/l)",Dibromochloromethane,"(total,ug/l)",T,ug/l,,,,
,,"Dissolved Organic Carbon ;(dissolved,mg/l)",Dissolved Organic Carbon,"(dissolved,mg/l)",D,"dissolved, mg/l",,,,
,,"Dissolved Organic Carbon ;(total,mg/l)",Dissolved Organic Carbon,"(total,mg/l)",T,"total, mg/l",,,,
300,7782-44-7,"Dissolved Oxygen ;(,mg/l)",Dissolved Oxygen,"(,mg/l)",U,mg/l,Dissolved Oxygen,,Dissolved oxygen,mg/l
,,"Fecal Coliform ;(,cfu/100ml)",Fecal Coliform,"(,cfu/100ml)",U,cfu/100ml,,,,
61215,,"Fecal Coliform ;(total,cfu/100ml)",Fecal Coliform,"(total,cfu/100ml)",T,cfu/100ml,Fecal Coliform,,,
951,16984-48-8,"Fluoride ;(total,mg/l)",Fluoride,"(total,mg/l)",T,mg/l,Fluoride,,"Fluoride, wu",mg/l
,,"Fluoride, undistilled ;(total,mg/l)","Fluoride, undistilled","(total,mg/l)",T,"total, mg/l",,,,
903,HARD,"Hardness (As CaCO3) ;(total,mg/l)",Hardness (As CaCO3),"(total,mg/l)",T,mg/l,HARDNESS (AS CACO3),mg/l,"Noncarbote hardness, wu,lab",mg/l CaCO3
903,HARD,"HARDNESS (AS CACO3) ;(total,mg/l)",HARDNESS (AS CACO3),"(total,mg/l)",T,mg/l,HARDNESS (AS CACO3),mg/l,"Noncarbote hardness, wu,lab",mg/l CaCO3
71885,7439-89-6,"Iron ;(total,ug/l)",Iron,"(total,ug/l)",T,ug/l,Iron,ug/l,"Iron, wu",ug/l
1049,,"Lead ;(dissolved,ug/l)",Lead,"(dissolved,ug/l)",T,ug/l,,,"Lead, wf",ug/l
52298,7439-92-1,"Lead ;(total,ug/l)",Lead,"(total,ug/l)",T,ug/l,Lead,ug/l,"Lead, wu",ug/l
927,7439-95-4,"Magnesium ;(total,mg/l)",Magnesium,"(total,mg/l)",T,mg/l,Magnesium,ug/l,"Magnesium, wu,recov",mg/l
927,7439-95-4,"Magnesium ;(total,ug/l)",Magnesium,"(total,ug/l)",T,ug/l,Magnesium,ug/l,"Magnesium, wu,recov",mg/l
71883,7439-96-5,"Manganese ;(total,ug/l)",Manganese,"(total,ug/l)",T,ug/l,Manganese,ug/l,"Manganese, wu",ug/l
50286,7439-97-6,"Mercury (,ppt)",Mercury ,"(,ppt)",U,ppt,,,"Mercury, wu",ng/l
50286,7439-97-6,"Mercury ;(total,ng/l)",Mercury,"(total,ng/l)",T,ng/l,Mercury,ug/l,"Mercury, wu",ng/l
50286,7439-97-6,"Mercury ;(total,ppt)",Mercury,"(total,ppt)",T,ppt,Mercury,ug/l,"Mercury, wu",ng/l
50286,7439-97-6,"Mercury ;(total,ug/l)",Mercury,"(total,ug/l)",T,ug/l,Mercury,ug/l,"Mercury, wu",ng/l
,,"Methylene Chloride ;(total,ug/l)",Methylene Chloride,"(total,ug/l)",T,ug/l,,,,
1065,,"Nickel ;(dissolved,ug/l)",Nickel,"(dissolved,ug/l)",D,ug/l,,,"Nickel, wf",ug/l
52300,7440-02-0,"Nickel ;(total,ug/l)",Nickel,"(total,ug/l)",T,ug/l,Nickel,ug/l,"Nickel, wu",ug/l
610,7664-41-7,"Nitrogen, Ammonia (As N) ;(total,mg/l)","Nitrogen, Ammonia (As N)","(total,mg/l)",T,mg/l,"Nitrogen, ammonia (As N)",mg/l,"Ammonia, wu",mg/l as N
610,7664-41-7,"Nitrogen, ammonia (As N) ;(total,mg/l)","Nitrogen, ammonia (As N)","(total,mg/l)",T,mg/l,"Nitrogen, ammonia (As N)",mg/l,"Ammonia, wu",mg/l as N
629,,"Nitrogen, Kjeldahl, Total ;(,mg/l)","Nitrogen, Kjeldahl, Total","(,mg/l)",T,"NA, mg/l","Nitrogen, Kjeldahl, Total",,,
629,,"NITROGEN, KJELDAHL, TOTAL ;(total,mg/l)","NITROGEN, KJELDAHL, TOTAL","(total,mg/l)",T,"total, mg/l","NITROGEN, KJELDAHL, TOTAL",,,
629,,"Nitrogen, Kjeldahl, Total ;(total,mg/l)","Nitrogen, Kjeldahl, Total","(total,mg/l)",T,"total, mg/l","Nitrogen, Kjeldahl, Total",,,
620,14797-55-8,"Nitrogen, Nitrate (As N) ;(,mg/l)","Nitrogen, Nitrate (As N)","(,mg/l)",U,mg/l,"Nitrogen, Nitrate (As N)",,"Nitrate, wu",mg/l as N
620,14797-55-8,"NITROGEN, NITRATE (AS N) ;(total,mg/l)","NITROGEN, NITRATE (AS N)","(total,mg/l)",T,mg/l,"NITROGEN, NITRATE (AS N)",mg/l,"Nitrate, wu",mg/l as N
